wn_synset	babelnet_id	pos	lemmata	definition	confidence	dist_from_music	dist_from_entity	ANNOTATION
wn:11057679n	bn:00006098n	n	Honegger, Arthur_Honegger	Swiss composer (born in France) who was the founding member of a group in Paris that included Erik Satie and Darius Milhaud and Francis Poulenc and Jean Cocteau (1892-1955)	0.359	12	8	NO
wn:11296429n	bn:00006099n	n	Shaw, Artie_Shaw, Arthur_Jacob_Arshawsky	United States clarinetist and leader of a swing band (1910-2004)	0.494	12	8	NO
wn:11273479n	bn:00006110n	n	Rubinstein, Arthur_Rubinstein, Artur_Rubinstein	United States pianist (born in Poland) known for his interpretations of the music of Chopin (1886-1982)	0.49	12	8	NO
wn:11324212n	bn:00006112n	n	Sullivan, Arthur_Sullivan, Arthur_Seymour_Sullivan, Sir_Arthur_Sullivan	English composer of operettas who collaborated with the librettist William Gilbert (1842-1900)	0.617	12	8	NO
wn:06392935n	bn:00006123n	n	article, clause	a separate section of a legal document (as a statute or contract or will)	0.182	2	6	NO
wn:11285456n	bn:00006198n	n	Schnabel, Artur_Schnabel	United States composer (born in Austria) and pianist noted for his interpretations of the works of Mozart and Beethoven and Schubert (1882-1951)	0.639	12	8	NO
wn:11346257n	bn:00006199n	n	Toscanini, Arturo_Toscanini	Italian conductor of many orchestras worldwide (1867-1957)	0.599	12	8	NO
wn:09815188n	bn:00006506n	n	asshole, bastard, cocksucker, dickhead, shit, mother_fucker, motherfucker, prick, whoreson, son_of_a_bitch, SOB	insulting terms of address for people who are stupid or irritating or ridiculous	0.231	10	6	NO
wn:06864014n	bn:00006943n	n	atonality, atonalism	the absence of a key; alternative to the diatonic system	0.663	7	7	YES
wn:00048656n	bn:00007007n	n	attainment	arrival at a new stage	0.5	10	8	NO
wn:06278136n	bn:00007101n	n	audio, sound	the audible part of a transmitted signal	0.5	2	4	YES
wn:04262678n	bn:00007103n	n	sound_recording, audio_recording, audio	a recording of acoustic signals	0.252	13	9	YES
wn:02757462n	bn:00007108n	n	audio_system, sound_system	a system of electronic equipment for recording or reproducing sound	0.314	11	7	YES
wn:02757810n	bn:00007114n	n	audiotape	a tape recording of sound	1.0	14	10	YES
wn:00794614n	bn:00007121n	n	audition, tryout	a test of the suitability of a performer	0.421	10	8	YES
wn:07109019n	bn:00007129n	n	auditory_communication	communication that relies on hearing	0.333	1	3	NO
wn:05711503n	bn:00007133n	n	auditory_perception, sound_perception	the perception of sound as a meaningful phenomenon	0.086	9	7	YES
wn:05718254n	bn:00007134n	n	sound, auditory_sensation	the subjective sensation of hearing something	0.714	10	8	YES
wn:07030376n	bn:00007149n	n	augmentation	the statement of a theme in notes of greater duration (usually twice the length of the original)	0.882	4	8	NO
wn:04063154n	bn:00007310n	n	record_changer, auto-changer, changer	an automatic mechanical device on a record player that causes new records to be played without manual intervention	0.4	13	9	YES
wn:08465558n	bn:00007432n	n	avant-garde, vanguard, van, new_wave	any creative group active in the innovation and application of new concepts and techniques in a given field (especially in the arts)	0.471	8	6	YES
wn:09826074n	bn:00007443n	n	avenger, retaliator	someone who takes vengeance	0.375	11	7	NO
wn:11105298n	bn:00007606n	n	King, B._B._King, Riley_B_King	United States guitar player and singer of the blues (born in 1925)	0.519	12	8	NO
wn:09829798n	bn:00007689n	n	bacchant, bacchanal	a drunken reveller; a devotee of Bacchus	0.5	10	6	NO
wn:10830229n	bn:00007700n	n	Bach, Johann_Sebastian_Bach	German baroque organist and contrapuntist; composed mostly keyboard music; one of the greatest creators of western music (1685-1750)	0.456	12	8	NO
wn:07277915n	bn:00007701n	n	Bach	the music of Bach	1.0	1	5	NO
wn:07086861n	bn:00007760n	n	backbeat	a loud steady beat	0.805	8	6	YES
wn:09830629n	bn:00007806n	n	backpacker, packer	a hiker who wears a backpack	0.167	11	7	NO
wn:02771004n	bn:00007821n	n	backspace_key, backspace, backspacer	the typewriter key used for back spacing	0.495	14	10	NO
wn:07042498n	bn:00007935n	n	bagatelle	a light piece of music for piano	0.865	2	6	YES
wn:02775483n	bn:00007953n	n	bagpipe	a tubular wind instrument; the player blows air into a bag and squeezes it out through the drone	0.289	14	10	YES
wn:10435041n	bn:00007954n	n	piper, bagpiper	someone who plays the bagpipe	0.8	11	7	YES
wn:10831363n	bn:00007977n	n	Bailey, Pearl_Bailey, Pearl_Mae_Bailey	United States singer (1918-1990)	1.0	12	8	NO
wn:02776978n	bn:00008042n	n	balalaika	a stringed instrument that has a triangular body and three strings	0.361	14	10	YES
wn:07049713n	bn:00008153n	n	ballad, lay	a narrative song with a recurrent refrain	0.4	3	7	YES
wn:10624540n	bn:00008155n	n	songwriter, songster, ballad_maker	a composer of words or music for popular songs	0.722	12	8	YES
wn:06378427n	bn:00008156n	n	ballade	a poem consisting of 3 stanzas and an envoy	0.67	7	7	YES
wn:09980090n	bn:00008157n	n	crooner, balladeer	a singer of popular ballads	0.772	12	8	YES
wn:07054336n	bn:00008166n	n	ballet	music written for a ballet	1.0	1	5	YES
